{'': '0', 'Unnamed: 0': '0.0', 'customerID': '7590-VHVEG', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': '', 'tenure': 1.0, 'PhoneService': 0, 'MultipleLines': 'No phone service', 'InternetService': 'DSL', 'OnlineSecurity': 'No', 'OnlineBackup': 'Yes', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 29.85, 'TotalCharges': 29.85, 'prediction': 1.0}
{'': '1008', 'Unnamed: 0': '1008.0', 'customerID': '8818-XYFCQ', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 32.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Credit card (automatic)', 'MonthlyCharges': 99.55, 'TotalCharges': 3204.65, 'prediction': 0.0}
{'': '1009', 'Unnamed: 0': '1009.0', 'customerID': '6419-ZTTLE', 'gender': 'Male', 'SeniorCitizen': '1.0', 'Partner': 'Yes', 'Dependents': 'No', 'tenure': 23.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'No', 'OnlineSecurity': 'No internet service', 'OnlineBackup': 'No internet service', 'DeviceProtection': 'No internet service', 'TechSupport': 'No internet service', 'StreamingTV': 'No internet service', 'StreamingMovies': 'No internet service', 'Contract': 'One year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 20.75, 'TotalCharges': 485.2, 'prediction': 0.0}
{'': '1010', 'Unnamed: 0': '1010.0', 'customerID': '0929-HYQEW', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 3.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'DSL', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Mailed check', 'MonthlyCharges': 50.15, 'TotalCharges': 160.85, 'prediction': 1.0}
{'': '1011', 'Unnamed: 0': '1011.0', 'customerID': '6614-YOLAC', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 71.0, 'PhoneService': 0, 'MultipleLines': 'No phone service', 'InternetService': 'DSL', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'Yes', 'DeviceProtection': 'No', 'TechSupport': 'Yes', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Two year', 'PaperlessBilling': 'No', 'PaymentMethod': 'Mailed check', 'MonthlyCharges': 58.65, 'TotalCharges': 4145.25, 'prediction': 0.0}
{'': '1012', 'Unnamed: 0': '1012.0', 'customerID': '7426-RHZGU', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 9.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'Yes', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Bank transfer (automatic)', 'MonthlyCharges': 95.9, 'TotalCharges': 827.45, 'prediction': 0.0}
{'': '1013', 'Unnamed: 0': '1013.0', 'customerID': '4065-JJAVA', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 1.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'DSL', 'OnlineSecurity': 'No', 'OnlineBackup': 'Yes', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'No', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 49.5, 'TotalCharges': 49.5, 'prediction': 1.0}
{'': '1014', 'Unnamed: 0': '1014.0', 'customerID': '4695-VADHF', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 18.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'DSL', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'Yes', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'Yes', 'Contract': 'Month-to-month', 'PaperlessBilling': 'No', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 57.45, 'TotalCharges': 990.85, 'prediction': 0.0}
{'': '1015', 'Unnamed: 0': '1015.0', 'customerID': '3863-IUBJR', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 12.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'DSL', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'Yes', 'Contract': 'One year', 'PaperlessBilling': 'No', 'PaymentMethod': 'Credit card (automatic)', 'MonthlyCharges': 53.65, 'TotalCharges': 696.35, 'prediction': 0.0}
{'': '1016', 'Unnamed: 0': '1016.0', 'customerID': '7649-SIJJF', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'No', 'tenure': 71.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'DSL', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'Yes', 'DeviceProtection': 'Yes', 'TechSupport': 'Yes', 'StreamingTV': 'No', 'StreamingMovies': 'Yes', 'Contract': 'Two year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Mailed check', 'MonthlyCharges': 80.1, 'TotalCharges': 5585.4, 'prediction': 0.0}
{'': '1017', 'Unnamed: 0': '1017.0', 'customerID': '9361-YNQWJ', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 64.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'No', 'OnlineSecurity': 'No internet service', 'OnlineBackup': 'No internet service', 'DeviceProtection': 'No internet service', 'TechSupport': 'No internet service', 'StreamingTV': 'No internet service', 'StreamingMovies': 'No internet service', 'Contract': 'One year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Bank transfer (automatic)', 'MonthlyCharges': 24.4, 'TotalCharges': 1601.2, 'prediction': 0.0}
{'': '1018', 'Unnamed: 0': '1018.0', 'customerID': '3748-FVMZZ', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 4.0, 'PhoneService': 0, 'MultipleLines': 'No phone service', 'InternetService': 'DSL', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': '', 'TechSupport': 'Yes', 'StreamingTV': 'No', 'StreamingMovies': 'Yes', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 40.05, 'TotalCharges': 162.45, 'prediction': 0.0}
{'': '1019', 'Unnamed: 0': '1019.0', 'customerID': '9391-TTOYH', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 23.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'No', 'OnlineSecurity': 'No internet service', 'OnlineBackup': 'No internet service', 'DeviceProtection': 'No internet service', 'TechSupport': 'No internet service', 'StreamingTV': 'No internet service', 'StreamingMovies': 'No internet service', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Mailed check', 'MonthlyCharges': 19.5, 'TotalCharges': 470.2, 'prediction': 0.0}
{'': '1020', 'Unnamed: 0': '1020.0', 'customerID': '1452-XRSJV', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 39.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'DSL', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'No', 'DeviceProtection': '', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'No', 'PaymentMethod': 'Credit card (automatic)', 'MonthlyCharges': 51.05, 'TotalCharges': 2066.0, 'prediction': 0.0}
{'': '1021', 'Unnamed: 0': '1021.0', 'customerID': '3422-WJOYD', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'No', 'tenure': 28.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'DSL', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'Yes', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'One year', 'PaperlessBilling': 'No', 'PaymentMethod': 'Mailed check', 'MonthlyCharges': 54.35, 'TotalCharges': 1426.45, 'prediction': 0.0}
{'': '1022', 'Unnamed: 0': '1022.0', 'customerID': '8242-SOQUO', 'gender': 'Female', 'SeniorCitizen': '1.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 5.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'Yes', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 84.7, 'TotalCharges': 392.5, 'prediction': 1.0}
{'': '1023', 'Unnamed: 0': '1023.0', 'customerID': '7460-ITWWP', 'gender': 'Female', 'SeniorCitizen': '1.0', 'Partner': 'Yes', 'Dependents': 'No', 'tenure': 45.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'Yes', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'Yes', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 86.1, 'TotalCharges': 3861.45, 'prediction': 0.0}
{'': '1024', 'Unnamed: 0': '1024.0', 'customerID': '7147-AYBAA', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 37.0, 'PhoneService': 1, 'MultipleLines': '', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Mailed check', 'MonthlyCharges': 70.35, 'TotalCharges': 2552.9, 'prediction': 0.0}
{'': '1025', 'Unnamed: 0': '1025.0', 'customerID': '7868-TMWMZ', 'gender': 'Female', 'SeniorCitizen': '1.0', 'Partner': 'Yes', 'Dependents': 'No', 'tenure': 60.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'Yes', 'DeviceProtection': 'Yes', 'TechSupport': 'Yes', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Two year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Bank transfer (automatic)', 'MonthlyCharges': 110.0, 'TotalCharges': 6668.35, 'prediction': 0.0}
{'': '1026', 'Unnamed: 0': '1026.0', 'customerID': '4822-RVYBB', 'gender': 'Male', 'SeniorCitizen': '1.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 8.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'Yes', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 100.6, 'TotalCharges': 819.4, 'prediction': 0.0}
{'': '1027', 'Unnamed: 0': '1027.0', 'customerID': '6732-FZUGP', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 47.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'No', 'DeviceProtection': 'Yes', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'No', 'Contract': 'One year', 'PaperlessBilling': 'No', 'PaymentMethod': 'Credit card (automatic)', 'MonthlyCharges': 94.9, 'TotalCharges': 4615.25, 'prediction': 0.0}
{'': '1028', 'Unnamed: 0': '1028.0', 'customerID': '8436-BJUMM', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 26.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 83.75, 'TotalCharges': 2070.6, 'prediction': 0.0}
{'': '1029', 'Unnamed: 0': '1029.0', 'customerID': '4184-TJFAN', 'gender': 'Female', 'SeniorCitizen': '1.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 3.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'Yes', 'StreamingTV': 'Yes', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Mailed check', 'MonthlyCharges': 88.3, 'TotalCharges': 273.75, 'prediction': 1.0}
{'': '1030', 'Unnamed: 0': '1030.0', 'customerID': '8329-GWVPJ', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 50.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Bank transfer (automatic)', 'MonthlyCharges': 69.75, 'TotalCharges': 3557.7, 'prediction': 0.0}
{'': '1031', 'Unnamed: 0': '1031.0', 'customerID': '1352-VHKAJ', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 27.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'DSL', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'Yes', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Month-to-month', 'PaperlessBilling': 'No', 'PaymentMethod': 'Bank transfer (automatic)', 'MonthlyCharges': 71.6, 'TotalCharges': 1957.1, 'prediction': 0.0}
{'': '1032', 'Unnamed: 0': '1032.0', 'customerID': '4145-UQXUQ', 'gender': 'Female', 'SeniorCitizen': '1.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 8.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'Yes', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 92.1, 'TotalCharges': 729.95, 'prediction': 0.0}
{'': '1033', 'Unnamed: 0': '1033.0', 'customerID': '2632-TACXW', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'No', 'tenure': 62.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'No', 'OnlineSecurity': 'No internet service', 'OnlineBackup': 'No internet service', 'DeviceProtection': 'No internet service', 'TechSupport': 'No internet service', 'StreamingTV': 'No internet service', 'StreamingMovies': 'No internet service', 'Contract': 'Two year', 'PaperlessBilling': 'No', 'PaymentMethod': 'Bank transfer (automatic)', 'MonthlyCharges': 23.65, 'TotalCharges': 1416.75, 'prediction': 0.0}
{'': '1034', 'Unnamed: 0': '1034.0', 'customerID': '8146-QQKZH', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'No', 'tenure': 71.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'DSL', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'No', 'DeviceProtection': 'Yes', 'TechSupport': 'Yes', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Two year', 'PaperlessBilling': 'No', 'PaymentMethod': 'Bank transfer (automatic)', 'MonthlyCharges': 81.85, 'TotalCharges': 5924.4, 'prediction': 0.0}
{'': '1035', 'Unnamed: 0': '1035.0', 'customerID': '1767-CJKBA', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 66.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'No', 'OnlineSecurity': 'No internet service', 'OnlineBackup': '', 'DeviceProtection': 'No internet service', 'TechSupport': 'No internet service', 'StreamingTV': 'No internet service', 'StreamingMovies': 'No internet service', 'Contract': 'Two year', 'PaperlessBilling': 'No', 'PaymentMethod': 'Mailed check', 'MonthlyCharges': 25.1, 'TotalCharges': 1697.7, 'prediction': 0.0}
{'': '1036', 'Unnamed: 0': '1036.0', 'customerID': '6445-TNRXS', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 68.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'Yes', 'DeviceProtection': 'Yes', 'TechSupport': 'Yes', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Two year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Bank transfer (automatic)', 'MonthlyCharges': 114.7, 'TotalCharges': 7849.85, 'prediction': 0.0}
{'': '1037', 'Unnamed: 0': '1037.0', 'customerID': '4581-LNWUM', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 13.0, 'PhoneService': 0, 'MultipleLines': 'No phone service', 'InternetService': 'DSL', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'Yes', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Month-to-month', 'PaperlessBilling': 'No', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 49.15, 'TotalCharges': 649.4, 'prediction': 0.0}
{'': '1038', 'Unnamed: 0': '1038.0', 'customerID': '4869-EPIUS', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'No', 'tenure': 56.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'Yes', 'Contract': 'One year', 'PaperlessBilling': 'Yes', 'PaymentMethod': '', 'MonthlyCharges': 80.9, 'TotalCharges': 4557.5, 'prediction': 0.0}
{'': '1039', 'Unnamed: 0': '1039.0', 'customerID': '9948-YPTDG', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'No', 'tenure': 38.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'Yes', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 79.45, 'TotalCharges': 3013.05, 'prediction': 0.0}
{'': '1040', 'Unnamed: 0': '1040.0', 'customerID': '1236-WFCDV', 'gender': 'Male', 'SeniorCitizen': '1.0', 'Partner': '', 'Dependents': 'No', 'tenure': 14.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Month-to-month', 'PaperlessBilling': 'No', 'PaymentMethod': 'Credit card (automatic)', 'MonthlyCharges': 90.45, 'TotalCharges': 1266.1, 'prediction': 0.0}
{'': '1041', 'Unnamed: 0': '1041.0', 'customerID': '1915-OAKWD', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'Yes', 'tenure': 16.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'No', 'OnlineSecurity': 'No internet service', 'OnlineBackup': 'No internet service', 'DeviceProtection': 'No internet service', 'TechSupport': 'No internet service', 'StreamingTV': 'No internet service', 'StreamingMovies': 'No internet service', 'Contract': 'One year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Bank transfer (automatic)', 'MonthlyCharges': 19.3, 'TotalCharges': 360.35, 'prediction': 0.0}
{'': '1042', 'Unnamed: 0': '1042.0', 'customerID': '7296-PIXQY', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 14.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'No', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 70.2, 'TotalCharges': 1046.5, 'prediction': 0.0}
{'': '1043', 'Unnamed: 0': '1043.0', 'customerID': '4883-QICIH', 'gender': 'Male', 'SeniorCitizen': '', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 32.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Bank transfer (automatic)', 'MonthlyCharges': 69.75, 'TotalCharges': 2347.9, 'prediction': 0.0}
{'': '1044', 'Unnamed: 0': '1044.0', 'customerID': '3354-OADJP', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 8.0, 'PhoneService': 1, 'MultipleLines': '', 'InternetService': 'DSL', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'Yes', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'One year', 'PaperlessBilling': 'No', 'PaymentMethod': 'Bank transfer (automatic)', 'MonthlyCharges': 54.25, 'TotalCharges': 447.75, 'prediction': 0.0}
{'': '1045', 'Unnamed: 0': '1045.0', 'customerID': '3524-WQDSG', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 43.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'Yes', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Bank transfer (automatic)', 'MonthlyCharges': 99.3, 'TotalCharges': 4209.95, 'prediction': 0.0}
{'': '1046', 'Unnamed: 0': '1046.0', 'customerID': '0810-DHDBD', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 52.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'DSL', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'No', 'DeviceProtection': 'Yes', 'TechSupport': 'Yes', 'StreamingTV': 'Yes', 'StreamingMovies': 'No', 'Contract': 'One year', 'PaperlessBilling': 'No', 'PaymentMethod': 'Credit card (automatic)', 'MonthlyCharges': 74.0, 'TotalCharges': 3877.65, 'prediction': 0.0}
{'': '1047', 'Unnamed: 0': '1047.0', 'customerID': '4026-SKKHW', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 3.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': '', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'Yes', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Mailed check', 'MonthlyCharges': 50.25, 'TotalCharges': 152.3, 'prediction': 1.0}
{'': '1048', 'Unnamed: 0': '1048.0', 'customerID': '2829-HYVZP', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 29.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'No', 'OnlineSecurity': 'No internet service', 'OnlineBackup': 'No internet service', 'DeviceProtection': 'No internet service', 'TechSupport': 'No internet service', 'StreamingTV': 'No internet service', 'StreamingMovies': 'No internet service', 'Contract': 'One year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Mailed check', 'MonthlyCharges': 19.8, 'TotalCharges': 572.2, 'prediction': 0.0}
{'': '1049', 'Unnamed: 0': '1049.0', 'customerID': '8329-IBCTI', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 1.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'No', 'OnlineSecurity': 'No internet service', 'OnlineBackup': 'No internet service', 'DeviceProtection': 'No internet service', 'TechSupport': 'No internet service', 'StreamingTV': 'No internet service', 'StreamingMovies': 'No internet service', 'Contract': 'Month-to-month', 'PaperlessBilling': 'No', 'PaymentMethod': 'Mailed check', 'MonthlyCharges': 19.65, 'TotalCharges': 19.65, 'prediction': 0.0}
